"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"TAXON"	"taxaname.orig"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"CAMBARIDAE"	"CAMBARINAE"	NA	NA	"ORCONECTES"	NA	"ORCONECTES"	"Orconectes"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"CARIDEA"	"PALAEMONOIDEA"	"PALAEMONIDAE"	"PALAEMONINAE"	NA	NA	"PALAEMONETES"	NA	"PALAEMONETES"	"Palaemonetes"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"GAMMARIDAE"	NA	NA	NA	"GAMMARUS"	NA	"GAMMARUS"	"Gammarus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"HYALELLIDAE"	NA	NA	NA	"HYALELLA"	NA	"HYALELLA"	"Hyalella"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"ISOPODA"	"ASELLOTA"	NA	"ASELLOIDEA"	"ASELLIDAE"	NA	NA	NA	"CAECIDOTEA"	NA	"CAECIDOTEA"	"Caecidotea"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"GYRINIDAE"	NA	NA	NA	"GYRETES"	NA	"GYRETES"	"Gyretes"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	"PELTODYTES"	NA	"PELTODYTES"	"Peltodytes"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"CUCUJIFORMIA"	"CURCULIONOIDEA"	"CURCULIONIDAE"	"BRACHYCERINAE"	NA	NA	"BRACHYCERUS"	NA	"BRACHYCERUS"	"Brachycerus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"ANCYRONYX"	NA	"ANCYRONYX"	"Ancyronyx"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"DUBIRAPHIA"	NA	"DUBIRAPHIA"	"Dubiraphia"
